date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:51	198364/198364	---M-Z	200	added ('OK')	text/html	etag:W/%222f4d1-C94tGwEFWrX0/CVwsyAe1o+vEww%22	https://ojo.pe/noticias/rodrigo-cuba/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/noticias/rodrigo-cuba/index.html	(from https://ojo.pe/)
19:41:51	199654/199654	---MCZ	200	added ('OK')	text/html	etag:W/%222f9db-SUZa0010S0SZL8rSjV83+Q3VK4M%22	https://ojo.pe/noticias/el-gran-show/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/noticias/el-gran-show/index.html	(from https://ojo.pe/)
19:41:52	112693/112693	---M--	200	added ('OK')	image/jpeg	etag:%223673c35c9e9160f0758a722062a2206e%22	https://cloudfront-us-east-1.images.arcpublishing.com/elcomercio/YIGXQ7PAOJD45GSFRK4LYPZEOM.jpg	C:/My%20Web%20Sites/PAGINA%20JUNIOR/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/YIGXQ7PAOJD45GSFRK4LYPZEOM.jpg	(from https://ojo.pe/)
19:41:52	199514/199514	---MCZ	200	added ('OK')	text/html	etag:W/%222f950-VDLsLqgfTlsvNxfrptkDZeDFmGU%22	https://ojo.pe/noticias/melissa-paredes/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/noticias/melissa-paredes/index.html	(from https://ojo.pe/)
19:41:53	207561/207561	---MCZ	200	added ('OK')	text/html	etag:W/%22318bf-7KzIJz5uN7nK3AdE94ffiN5y/d4%22	https://ojo.pe/politica/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/politica/index.html	(from https://ojo.pe/)
19:41:53	204168/204168	---MCZ	200	added ('OK')	text/html	etag:W/%2230b7d-6LyNETMa0I9VjdJ4EbiJfvYGvq8%22	https://ojo.pe/salud/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/salud/index.html	(from https://ojo.pe/)
19:41:53	110124/110124	---M--	200	added ('OK')	image/jpeg	etag:%22eff09fadf6afcb231b90d964a7468107%22	https://cloudfront-us-east-1.images.arcpublishing.com/elcomercio/XCD7OZG64JAMHPIEMLAQDYEBQE.jpg	C:/My%20Web%20Sites/PAGINA%20JUNIOR/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/XCD7OZG64JAMHPIEMLAQDYEBQE.jpg	(from https://ojo.pe/)
19:41:54	115375/115375	---M-Z	200	added ('OK')	text/html	etag:W/%221b0a4-e0x4cd6/+9cQAtLZDlU+DtEak3g%22	https://ojo.pe/actualidad/ojo-con-el-pago-de-la-cts-de-noviembre-2022-averigua-si-el-retiro-sera-libre-nnda-nnlt-noticia/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/actualidad/ojo-con-el-pago-de-la-cts-de-noviembre-2022-averigua-si-el-retiro-sera-libre-nnda-nnlt-noticia/index.html	(from https://ojo.pe/)
19:41:54	281890/281890	---MCZ	200	added ('OK')	text/html	etag:W/%2243b19-18m9XAnDWC9TpiqpHoGCEEsYkWQ%22	https://ojo.pe/autor/redaccion-ojo/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/autor/redaccion-ojo/index.html	(from https://ojo.pe/)
19:41:54	6556/6556	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:56:48%20GMT	https://cdn-sfo.socy.cloud/ZECO/v3/SSFC/st50x50x26021976_50_50/https://ojo.pe/resizer/Oe9o5jYhpHMwhV37oKyrAU4s2sg=/980x528/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/35NPHIPZQBEXRJ5P7QM7ZTG4EM.jpg	C:/My%20Web%20Sites/PAGINA%20JUNIOR/cdn-sfo.socy.cloud/ZECO/v3/SSFC/st50x50x26021976_50_50/https_/ojo.pe/resizer/Oe9o5jYhpHMwhV37oKyrAU4s2sg=/980x528/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.a/35NPHIPZQBEXRJ5P7QM7ZTG	(from https://ojo.pe/)
